threshold,accuracy,precision,recall,f1
0.1,0.8484196368527236,0.7651566373675908,0.9755747126436781,0.8576480990274093
0.15,0.8659045057162071,0.7948230824032296,0.9617816091954023,0.8703679625536341
0.2,0.8778749159381305,0.8156602847324497,0.9548850574712644,0.8797987821021975
0.25,0.8880968392737054,0.8370672097759674,0.9448275862068966,0.8876889848812095
0.3,0.8980497646267653,0.8570304302203567,0.9387931034482758,0.8960504662643993
0.35,0.9124411566913249,0.8889194390981578,0.9290229885057472,0.9085288745257833
0.4,0.9145931405514459,0.8954684459271616,0.9255747126436782,0.9102727144270171
0.45,0.9207800941492938,0.9114716766296612,0.9201149425287356,0.9157729157729158
0.5,0.9229320780094149,0.9276257722859664,0.9060344827586206,0.9167030091583079
0.55,0.9244115669132481,0.9331947743467933,0.9031609195402299,0.9179322429906542
0.6,0.9244115669132481,0.9368263473053893,0.8991379310344828,0.9175953079178886
0.65,0.9234700739744451,0.9499227202472952,0.8830459770114942,0.9152643335815339
0.7,0.9163416274377942,0.9562579821200511,0.860632183908046,0.9059286146400484
0.75,0.9082716879623403,0.9678929765886287,0.8316091954022988,0.8945904173106646
0.8,0.9041022192333558,0.9678728440987487,0.8224137931034483,0.889234115271089
0.85,0.8689979825151312,0.9875486381322958,0.7293103448275862,0.83900826446281
0.9,0.8664425016812374,0.9878383679874461,0.7235632183908046,0.8352960689998341
